course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,enrollment,rating,search_text
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k,47000.0,4.7,gestión de organizaciones efectivas pontificia universidad católica de chile mixed
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k,14000.0,4.7,get interactive: practical teaching with technology bloomsbury learning exchange beginner
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k,59000.0,4.5,getting started with music theory michigan state university beginner
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k,73000.0,4.5,getting started with aws machine learning amazon web services intermediate
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k,59000.0,4.6,"getting started with go university of california, irvine intermediate"
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k,75000.0,4.5,getting started with google kubernetes engine google cloud intermediate
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k,18000.0,4.6,getting started with google sheets google cloud beginner
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k,22000.0,4.9,getting started with sas programming sas beginner
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79k,79000.0,4.6,global diplomacy – diplomacy in the modern world soas university of london mixed
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k,29000.0,4.7,global diplomacy: the united nations in the world soas university of london beginner
Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k,10000.0,4.5,global energy and climate policy soas university of london beginner
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k,22000.0,4.6,global environmental management technical university of denmark (dtu) intermediate
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37k,37000.0,4.6,global financial markets and instruments rice university mixed
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k,3600.0,4.6,global financing solutions  (by edhec and société générale) edhec business school intermediate
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.6k,7600.0,4.8,global trends for business and society university of pennsylvania mixed
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k,44000.0,4.8,"globalization, economic growth and stability ie business school intermediate"
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k,3800.0,4.6,good with words: writing and editing university of michigan beginner
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k,120000.0,4.6,google cloud platform big data and machine learning fundamentals google cloud intermediate
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k,36000.0,4.7,google cloud platform fundamentals for aws professionals google cloud intermediate
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k,93000.0,4.7,google it automation with python google beginner
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k,350000.0,4.8,google it support google beginner
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430k,430000.0,4.7,"grammar and punctuation university of california, irvine mixed"
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k,10000.0,4.7,graphic design elements for non-designers university of colorado boulder beginner
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260k,260000.0,4.8,greek and roman mythology university of pennsylvania mixed
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k,56000.0,4.6,greening the economy: sustainable cities lund university beginner
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k,210000.0,4.8,guitar for beginners berklee college of music mixed
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k,62000.0,4.7,gut check: exploring your microbiome university of california san diego mixed
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240k,240000.0,4.8,"html, css, and javascript for web developers johns hopkins university mixed"
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k,43000.0,4.7,habilidades gerenciales universidad nacional autónoma de méxico beginner
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k,62000.0,4.8,hacia una práctica constructivista en el aula pontificia universidad católica de chile mixed
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k,7400.0,4.2,hardware description languages for fpga design university of colorado boulder intermediate
Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k,39000.0,4.6,healing with the arts university of florida mixed
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,8100.0,4.5,health informatics johns hopkins university beginner
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,5400.0,4.5,"health information literacy for data analytics university of california, davis intermediate"
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,1700.0,4.7,healthcare law university of pennsylvania intermediate
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,36000.0,4.4,healthcare marketplace university of minnesota beginner
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,5500.0,4.6,healthcare organization operations rutgers the state university of new jersey beginner
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k,46000.0,4.8,"high performance collaboration: leadership, teamwork, and negotiation northwestern university mixed"
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,5500.0,4.7,homeland security and cybersecurity university of colorado system beginner
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,28000.0,4.6,"hotel management: distribution, revenue and demand management essec business school beginner"
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,170000.0,4.8,how things work: an introduction to physics university of virginia intermediate
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k,140000.0,3.3,how to create a website in a weekend! (project-centered course) the state university of new york mixed
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,34000.0,4.1,how to start your own business michigan state university beginner
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,98000.0,4.7,human resource management: hr for people managers university of minnesota beginner
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,140000.0,4.6,ibm ai engineering ibm intermediate
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,3500.0,4.4,ibm ai enterprise workflow ibm advanced
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k,220000.0,4.6,ibm applied ai ibm beginner
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k,3300.0,4.8,ibm customer engagement specialist professional certificate ibm beginner
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k,480000.0,4.6,ibm data science ibm beginner
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k,35000.0,4.5,it fundamentals for cybersecurity ibm beginner
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k,62000.0,4.8,it security: defense against the digital dark arts google beginner
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k,1700.0,4.9,"identifying, monitoring, and analyzing risk and incident response and recovery (isc)² beginner"
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k,23000.0,4.7,implementación del marketing mix ie business school beginner
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k,2200.0,4.6,implementing rpa with cognitive automation and analytics automation anywhere beginner
Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k,610000.0,4.7,improve your english communication skills georgia institute of technology beginner
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k,270000.0,4.9,"improving deep neural networks: hyperparameter tuning, regularization and optimization deeplearning.ai beginner"
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k,18000.0,4.4,improving leadership & governance in nonprofit organizations luther college at the university of regina beginner
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k,79000.0,4.9,in the studio: postwar abstract painting the museum of modern art beginner
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51k,51000.0,4.8,indigenous canada university of alberta mixed
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k,34000.0,4.5,industrial iot on google cloud platform google cloud beginner
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1.6k,1600.0,5.0,infectious disease modelling imperial college london intermediate
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k,12000.0,4.4,influencer marketing strategy rutgers the state university of new jersey intermediate
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k,22000.0,4.8,"influencing: storytelling, change management and governance macquarie university beginner"
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k,32000.0,4.6,"information security: context and introduction royal holloway, university of london beginner"
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k,10000.0,4.6,information visualization new york university beginner
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k,16000.0,4.7,information​ ​systems university of minnesota beginner
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180k,180000.0,4.7,"initiating and planning projects university of california, irvine mixed"
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k,40000.0,4.6,innovation management erasmus university rotterdam beginner
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k,10000.0,4.8,"innovation through design: think, make, break, repeat the university of sydney beginner"
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k,25000.0,4.8,innovation: from creativity to entrepreneurship university of illinois at urbana-champaign beginner
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k,72000.0,4.5,inspirational leadership: leading with sense hec paris beginner
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k,97000.0,4.7,inspired leadership case western reserve university intermediate
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85k,85000.0,4.8,inspiring and motivating individuals university of michigan mixed
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k,12000.0,4.2,instructional design foundations and applications university of illinois at urbana-champaign mixed
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k,9700.0,4.6,instructional methods in health professions education university of michigan intermediate
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k,14000.0,4.8,integrative health and medicine university of minnesota beginner
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k,8700.0,4.8,intellectual property law university of pennsylvania intermediate
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k,150000.0,4.5,interaction design university of california san diego intermediate
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k,6500.0,4.6,intercultural management escp business school beginner
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k,22000.0,4.5,international business essentials university of london intermediate
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25k,25000.0,4.4,international cyber conflicts the state university of new york mixed
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k,22000.0,4.8,international humanitarian law in theory and practice kalshoven-gieskes forum beginner
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36k,36000.0,4.8,international law in action: a guide to the international courts and tribunals in the hague universiteit leiden mixed
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19k,19000.0,4.8,international law in action: the arbitration of international disputes universiteit leiden mixed
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41k,41000.0,4.8,international leadership and organizational behavior università bocconi mixed
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k,26000.0,4.6,international marketing & cross industry growth yonsei university beginner
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k,20000.0,4.8,international organizations management university of geneva beginner
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k,2200.0,4.5,international security management erasmus university rotterdam beginner
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k,35000.0,4.9,international women's health and human rights stanford university beginner
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k,11000.0,4.6,international migrations: a global issue sciences po beginner
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k,36000.0,4.7,internet connection: how to get online? cisco beginner
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38k,38000.0,4.8,internet giants: the law and economics of media platforms the university of chicago mixed
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k,66000.0,4.6,"interviewing and resume writing in english university of maryland, college park intermediate"
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k,140000.0,4.7,introducción a data science: programación estadística con r universidad nacional autónoma de méxico beginner
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k,100000.0,4.4,introducción a la programación en python i: aprendiendo a programar con python pontificia universidad católica de chile beginner
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46k,46000.0,4.8,introduction aux droits de l’homme university of geneva mixed
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60k,60000.0,4.8,introduction to ableton live berklee college of music mixed
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k,44000.0,4.7,introduction to artificial intelligence (ai) ibm beginner
Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160k,160000.0,4.6,introduction to big data university of california san diego mixed
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k,16000.0,4.7,introduction to blockchain technologies insead beginner
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27k,27000.0,4.9,introduction to breast cancer yale university mixed
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k,14000.0,4.7,introduction to business analytics: communicating with data university of illinois at urbana-champaign intermediate
Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84k,84000.0,4.8,introduction to css3 university of michigan mixed
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k,53000.0,4.8,introduction to calculus the university of sydney intermediate
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k,46000.0,4.8,introduction to chemistry:  reactions and ratios duke university beginner
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150k,150000.0,4.9,introduction to classical music yale university mixed
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2.6k,2600.0,4.6,introduction to cloud computing ibm beginner
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k,20000.0,4.3,"introduction to computer programming goldsmiths, university of london beginner"
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k,32000.0,4.3,"introduction to computer science and programming goldsmiths, university of london beginner"
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130k,130000.0,4.6,introduction to corporate finance university of pennsylvania mixed
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27k,27000.0,4.7,introduction to cyber attacks new york university beginner
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32k,32000.0,4.7,introduction to cyber security new york university beginner
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30k,30000.0,4.5,introduction to cybersecurity tools & cyber attacks ibm beginner
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99k,99000.0,4.7,introduction to data analysis using excel rice university mixed
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310k,310000.0,4.6,introduction to data science ibm beginner
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390k,390000.0,4.5,introduction to data science in python university of michigan intermediate
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25k,25000.0,4.8,introduction to dental medicine university of pennsylvania beginner
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k,75000.0,4.4,introduction to discrete mathematics for computer science national research university higher school of economics beginner
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110k,110000.0,4.7,introduction to electronics georgia institute of technology mixed
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41k,41000.0,4.5,introduction to embedded systems software and development environments university of colorado boulder intermediate
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150k,150000.0,4.7,introduction to engineering mechanics georgia institute of technology mixed
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34k,34000.0,4.8,introduction to environmental law and policy the university of north carolina at chapel hill mixed
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200k,200000.0,4.7,introduction to financial accounting university of pennsylvania mixed
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47k,47000.0,4.9,"introduction to forensic science nanyang technological university, singapore mixed"
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79k,79000.0,4.8,introduction to game development michigan state university mixed
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74k,74000.0,4.8,introduction to genetics and evolution duke university mixed
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42k,42000.0,4.6,introduction to genomic technologies johns hopkins university mixed
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220k,220000.0,4.7,introduction to html5 university of michigan mixed
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54k,54000.0,4.5,introduction to imagemaking california institute of the arts beginner
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6k,6000.0,4.8,introduction to intellectual property university of pennsylvania beginner
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82k,82000.0,4.8,introduction to international criminal law case western reserve university mixed
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220k,220000.0,4.8,introduction to marketing university of pennsylvania mixed
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270k,270000.0,4.8,introduction to mathematical thinking stanford university intermediate
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87k,87000.0,4.5,introduction to operations management university of pennsylvania mixed
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140k,140000.0,4.4,introduction to personal branding university of virginia beginner
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370k,370000.0,4.6,introduction to philosophy the university of edinburgh mixed
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11k,11000.0,4.8,introduction to portfolio construction and analysis with python edhec business school mixed
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160k,160000.0,4.7,introduction to probability and data duke university beginner
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82k,82000.0,4.7,introduction to programming in c duke university beginner
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270k,270000.0,4.8,introduction to programming with matlab vanderbilt university beginner
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270k,270000.0,4.9,introduction to psychology yale university beginner
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49k,49000.0,4.7,introduction to scripting in python rice university beginner
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39k,39000.0,4.8,introduction to self-driving cars university of toronto advanced
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76k,76000.0,4.2,introduction to spreadsheets and models university of pennsylvania mixed
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12k,12000.0,4.7,introduction to statistics & data analysis in public health imperial college london beginner
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69k,69000.0,4.8,introduction to sustainability university of illinois at urbana-champaign mixed
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67k,67000.0,4.8,introduction to systematic review and meta-analysis johns hopkins university mixed
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33k,33000.0,4.7,introduction to systems engineering unsw sydney (the university of new south wales) mixed
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150k,150000.0,4.7,"introduction to tensorflow for artificial intelligence, machine learning, and deep learning deeplearning.ai intermediate"
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4.1k,4100.0,4.8,introduction to thermodynamics: transferring energy from here to there university of michigan beginner
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13k,13000.0,4.0,"introduction to trading, machine learning & gcp new york institute of finance intermediate"
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72k,72000.0,4.8,introduction to typography california institute of the arts beginner
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87k,87000.0,4.5,introduction to user experience design georgia institute of technology beginner
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16k,16000.0,4.8,introduction to user experience principles and processes university of michigan beginner
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76k,76000.0,4.7,"introduction to web development university of california, davis beginner"
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k,110000.0,4.8,introduction to the biology of cancer johns hopkins university beginner
Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270k,270000.0,4.7,introductory human physiology duke university mixed
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k,4500.0,4.9,introdução aos princípios e práticas da gestão de projetos universidade de são paulo beginner
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k,120000.0,4.9,introdução à ciência da computação com python parte 1 universidade de são paulo beginner
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99k,99000.0,4.7,investment management university of geneva beginner
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k,14000.0,4.6,investment management with python and machine learning edhec business school beginner
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49k,49000.0,4.5,investment and portfolio management rice university beginner
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k,4400.0,4.6,japanese for beginners 1 saint petersburg state university beginner
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380k,380000.0,4.6,java programming and software engineering fundamentals duke university beginner
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160k,160000.0,4.6,java programming: solving problems with software duke university beginner
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22k,22000.0,4.5,julia scientific programming university of cape town beginner
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37k,37000.0,4.7,kotlin for java developers jetbrains intermediate
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8k,8000.0,4.7,l'excellence opérationnelle en pratique essec business school beginner
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k,6300.0,4.6,"l'impact investing, la finance qui change le monde essec business school beginner"
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17k,17000.0,4.7,leadership development for engineers rice university beginner
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34k,34000.0,4.7,leadership in 21st century organizations copenhagen business school mixed
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16k,16000.0,4.8,leading healthcare quality and safety the george washington university beginner
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k,220000.0,4.7,leading people and teams university of michigan beginner
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5.9k,5900.0,4.7,"leading for equity, diversity and inclusion in higher education university of michigan intermediate"
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k,16000.0,4.8,leading: human resource management and leadership macquarie university intermediate
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43k,43000.0,4.8,learn chinese: hsk test preparation peking university beginner
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k,22000.0,4.3,learn english tsinghua university beginner
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k,78000.0,4.5,"learn english: advanced academic speaking and listening university of california, irvine intermediate"
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k,52000.0,4.8,"learn english: advanced grammar and punctuation university of california, irvine advanced"
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k,120000.0,4.7,"learn english: intermediate grammar university of california, irvine intermediate"
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k,39000.0,4.8,learn mandarin chinese shanghai jiao tong university beginner
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k,160000.0,4.6,"learn sql basics for data science university of california, davis beginner"
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k,80000.0,4.6,"learn spanish: basic spanish vocabulary university of california, davis beginner"
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180k,180000.0,4.8,learn to program: the fundamentals university of toronto beginner
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120k,120000.0,4.9,learn to speak korean 1 yonsei university beginner
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k,68000.0,4.7,learning to teach online unsw sydney (the university of new south wales) beginner
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.2k,7200.0,4.5,legal tech & startups ie business school intermediate
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k,10000.0,4.7,les fondamentaux de la négociation essec business school beginner
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k,23000.0,4.8,liderazgo efectivo para el siglo xxi universidad de los andes intermediate
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,29000.0,4.6,linear circuits 1: dc analysis georgia institute of technology mixed
